1,0.5,0,21,0,10,1
2,1,0,21,0,10,1
3,1.5,0,21,0,10,1
4,2,0,21,0,10,1
5,2.5,0,21,0,10,1
6,3,0,21,0,10,1
7,3.5,0,21,0,10,1
8,4,0,21,0,10,1
9,4.5,0,21,0,10,1
10,5,0,21,0,10,1
11,5.5,0,21,0,10,1
12,6,0,21,0,10,1
13,6.5,0,21,0,10,1
14,7,0,21,0,10,1
15,7.5,0,21,0,10,1
16,0.5,0.25,21,0,10,1
17,1,0.25,21,0,10,1
18,1.5,0.25,21,0,10,1
19,2,0.25,21,0,10,1
20,2.5,0.25,21,0,10,1
21,3,0.25,21,0,10,1
22,3.5,0.25,21,0,10,1
23,4,0.25,21,0,10,1
24,4.5,0.25,21,0,10,1
25,5,0.25,21,0,10,1
26,5.5,0.25,21,0,10,1
27,6,0.25,21,0,10,1
28,6.5,0.25,21,0,10,1
29,7,0.25,21,0,10,1
30,7.5,0.25,21,0,10,1
31,0.5,0.5,21,0,10,1
32,1,0.5,21,0,10,1
33,1.5,0.5,21,0,10,1
34,2,0.5,21,0,10,1
35,2.5,0.5,21,0,10,1
36,3,0.5,21,0,10,1
37,3.5,0.5,21,0,10,1
38,4,0.5,21,0,10,1
39,4.5,0.5,21,0,10,1
40,5,0.5,21,0,10,1
41,5.5,0.5,21,0,10,1
42,6,0.5,21,0,10,1
43,6.5,0.5,21,0,10,1
44,7,0.5,21,0,10,1
45,7.5,0.5,21,0,10,1
46,0.5,0.75,21,0,10,1
47,1,0.75,21,0,10,1
48,1.5,0.75,21,0,10,1
49,2,0.75,21,0,10,1
50,2.5,0.75,21,0,10,1
51,3,0.75,21,0,10,1
52,3.5,0.75,21,0,10,1
53,4,0.75,21,0,10,1
54,4.5,0.75,21,0,10,1
55,5,0.75,21,0,10,1
56,5.5,0.75,21,0,10,1
57,6,0.75,21,0,10,1
58,6.5,0.75,21,0,10,1
59,7,0.75,21,0,10,1
60,7.5,0.75,21,0,10,1
61,0.5,1,21,0,10,1
62,1,1,21,0,10,1
63,1.5,1,21,0,10,1
64,2,1,21,0,10,1
65,2.5,1,21,0,10,1
66,3,1,21,0,10,1
67,3.5,1,21,0,10,1
68,4,1,21,0,10,1
69,4.5,1,21,0,10,1
70,5,1,21,0,10,1
71,5.5,1,21,0,10,1
72,6,1,21,0,10,1
73,6.5,1,21,0,10,1
74,7,1,21,0,10,1
75,7.5,1,21,0,10,1
76,0.5,1.25,21,0,10,1
77,1,1.25,21,0,10,1
78,1.5,1.25,21,0,10,1
79,2,1.25,21,0,10,1
80,2.5,1.25,21,0,10,1
81,3,1.25,21,0,10,1
82,3.5,1.25,21,0,10,1
83,4,1.25,21,0,10,1
84,4.5,1.25,21,0,10,1
85,5,1.25,21,0,10,1
86,5.5,1.25,21,0,10,1
87,6,1.25,21,0,10,1
88,6.5,1.25,21,0,10,1
89,7,1.25,21,0,10,1
90,7.5,1.25,21,0,10,1
91,0.5,1.5,21,0,10,1
92,1,1.5,21,0,10,1
93,1.5,1.5,21,0,10,1
94,2,1.5,21,0,10,1
95,2.5,1.5,21,0,10,1
96,3,1.5,21,0,10,1
97,3.5,1.5,21,0,10,1
98,4,1.5,21,0,10,1
99,4.5,1.5,21,0,10,1
100,5,1.5,21,0,10,1
101,5.5,1.5,21,0,10,1
102,6,1.5,21,0,10,1
103,6.5,1.5,21,0,10,1
104,7,1.5,21,0,10,1
105,7.5,1.5,21,0,10,1
106,0.5,1.75,21,0,10,1
107,1,1.75,21,0,10,1
108,1.5,1.75,21,0,10,1
109,2,1.75,21,0,10,1
110,2.5,1.75,21,0,10,1
111,3,1.75,21,0,10,1
112,3.5,1.75,21,0,10,1
113,4,1.75,21,0,10,1
114,4.5,1.75,21,0,10,1
115,5,1.75,21,0,10,1
116,5.5,1.75,21,0,10,1
117,6,1.75,21,0,10,1
118,6.5,1.75,21,0,10,1
119,7,1.75,21,0,10,1
120,7.5,1.75,21,0,10,1
121,0.5,2,21,0,10,1
122,1,2,21,0,10,1
123,1.5,2,21,0,10,1
124,2,2,21,0,10,1
125,2.5,2,21,0,10,1
126,3,2,21,0,10,1
127,3.5,2,21,0,10,1
128,4,2,21,0,10,1
129,4.5,2,21,0,10,1
130,5,2,21,0,10,1
131,5.5,2,21,0,10,1
132,6,2,21,0,10,1
133,6.5,2,21,0,10,1
134,7,2,21,0,10,1
135,7.5,2,21,0,10,1
