SITE,COMMON_NAME,SPECIES,DIST_FT,DIST_M,DBH_IN,DBH_CM,CC,NORTHING,EASTING
S612,Black Spruce,Picea mariana,16.833,5.1306984,4.015748058,10.2,Int,464572,5263034
S612,Black Spruce,Picea mariana,23.583,7.1880984,3.818897663,9.7,Co,464572,5263034
S612,Black Spruce,Picea mariana,23.667,7.2137016,3.700787426,9.4,Co,464572,5263034
S612,Black Spruce,Picea mariana,7.053,2.1497544,5.433070902,13.8,Int,464572,5263034
S612,Black Spruce,Picea mariana,15.25,4.6482,5.078740191,12.9,Int,464572,5263034
S612,Black Spruce,Picea mariana,16.583,5.0544984,9.724409513,24.7,Dom,464572,5263034
S612,Black Spruce,Picea mariana,22,6.7056,8.346456748,21.2,Co,464572,5263034
S612,Black Spruce,Picea mariana,21.417,6.5279016,4.212598453,10.7,Int,464572,5263034
S612,Black Spruce,Picea mariana,23.167,7.0613016,4.881889796,12.4,Dom,464572,5263034
S612,Black Spruce,Picea mariana,6,1.8288,5.275590586,13.4,Co,464572,5263034
S612,Black Spruce,Picea mariana,5.25,1.6002,3.818897663,9.7,Co,464572,5263034
S612,Black Spruce,Picea mariana,14,4.2672,3.661417347,9.3,Int,464572,5263034
S612,Tamarack,Larix laricina,20.5,6.2484,6.141732324,15.6,Co,464572,5263034
S612,Tamarack,Larix laricina,21.917,6.6803016,8.464566985,21.5,Co,464572,5263034
S612,Tamarack,Larix laricina,10.5,3.2004,10.59055125,26.9,Dom,464572,5263034
S612,Tamarack,Larix laricina,21.25,6.477,6.69291343,17,Dom,464572,5263034
S613,White Spruce,Picea glauca,24.833,7.5690984,8.149606353,20.7,Co,464514,5263026
S613,White Spruce,Picea glauca,22,6.7056,4.33070869,11,Sup,464514,5263026
S613,White Spruce,Picea glauca,25.333,7.7214984,3.779527584,9.6,Sup,464514,5263026
S613,White Spruce,Picea glauca,18.167,5.5373016,4.33070869,11,Sup,464514,5263026
S613,White Spruce,Picea glauca,24.667,7.5185016,6.535433114,16.6,Int,464514,5263026
S613,White Spruce,Picea glauca,18.833,5.7402984,6.811023667,17.3,Co,464514,5263026
S613,White Spruce,Picea glauca,16,4.8768,6.811023667,17.3,Co,464514,5263026
S613,White Spruce,Picea glauca,9.167,2.7941016,4.527559085,11.5,Sup,464514,5263026
S613,White Spruce,Picea glauca,17,5.1816,4.803149638,12.2,Int,464514,5263026
S613,White Spruce,Picea glauca,20.583,6.2736984,8.307086669,21.1,Co,464514,5263026
S613,White Spruce,Picea glauca,22.333,6.8070984,7.48031501,19,Co,464514,5263026
S613,White Spruce,Picea glauca,23.5,7.1628,8.779527617,22.3,Co,464514,5263026
S613,White Spruce,Picea glauca,25,7.62,5.236220507,13.3,Sup,464514,5263026
S613,White Spruce,Picea glauca,20.333,6.1974984,6.574803193,16.7,Int,464514,5263026
S613,White Spruce,Picea glauca,26.417,8.0519016,6.850393746,17.4,Int,464514,5263026
S613,White Spruce,Picea glauca,14,4.2672,8.425196906,21.4,Co,464514,5263026
S613,White Spruce,Picea glauca,19.333,5.8926984,8.543307143,21.7,Co,464514,5263026
S613,White Spruce,Picea glauca,26.167,7.9757016,8.779527617,22.3,Co,464514,5263026
S613,Quaking Aspen,Populus tremuloides,19.053,5.8073544,6.929133904,17.6,Co,464514,5263026
S613,Quaking Aspen,Populus tremuloides,20.417,6.2231016,8.228346511,20.9,Co,464514,5263026
S613,Quaking Aspen,Populus tremuloides,14,4.2672,10.70866149,27.2,Dom,464514,5263026
S613,Quaking Aspen,Populus tremuloides,9,2.7432,5.11811027,13,Co,464514,5263026
S613,Quaking Aspen,Populus tremuloides,22,6.7056,11.29921267,28.7,Dom,464514,5263026
S613,Quaking Aspen,Populus tremuloides,23,7.0104,9.803149671,24.9,Co,464514,5263026
S613,Quaking Aspen,Populus tremuloides,8,2.4384,5.984252008,15.2,Co,464514,5263026
S613,Paper Birch,Betula papyrifera,10,3.048,5.984252008,15.2,Int,464514,5263026
S613,Paper Birch,Betula papyrifera,6.25,1.905,4.960629954,12.6,Co,464514,5263026
S613,Paper Birch,Betula papyrifera,5.417,1.6511016,4.960629954,12.6,Co,464514,5263026
S613,Paper Birch,Betula papyrifera,4.583,1.3968984,4.72440948,12,Co,464514,5263026
S614,Red Pine,Pinus resinosa,25.8,7.86384,6.69291343,17,Int,464457,5263031
S614,White Spruce,Picea glauca,9.3,2.83464,9.881889829,25.1,Co,464457,5263031
S614,White Spruce,Picea glauca,16.1,4.90728,10.47244101,26.6,Co,464457,5263031
S614,White Spruce,Picea glauca,24.4,7.43712,7.8740158,20,Co,464457,5263031
S614,White Spruce,Picea glauca,25.9,7.89432,8.937007933,22.7,Co,464457,5263031
S614,White Spruce,Picea glauca,23.3,7.10184,8.346456748,21.2,Co,464457,5263031
S614,White Spruce,Picea glauca,21.4,6.52272,8.818897696,22.4,Co,464457,5263031
S614,White Spruce,Picea glauca,5.5,1.6764,8.818897696,22.4,Co,464457,5263031
S614,White Spruce,Picea glauca,22.8,6.94944,8.307086669,21.1,Co,464457,5263031
S614,White Spruce,Picea glauca,15,4.572,11.65354338,29.6,Co,464457,5263031
S614,White Spruce,Picea glauca,6.6,2.01168,13.70078749,34.8,Co,464457,5263031
S614,White Spruce,Picea glauca,17,5.1816,10.23622054,26,Co,464457,5263031
S614,White Spruce,Picea glauca,11.4,3.47472,7.716535484,19.6,Co,464457,5263031
S614,White Spruce,Picea glauca,13.5,4.1148,8.976378012,22.8,Co,464457,5263031
S614,White Spruce,Picea glauca,13.6,4.14528,9.094488249,23.1,Co,464457,5263031
S614,White Spruce,Picea glauca,22,6.7056,6.29921264,16,Co,464457,5263031
S614,White Spruce,Picea glauca,18.8,5.73024,6.771653588,17.2,Co,464457,5263031
S614,White Spruce,Picea glauca,20.4,6.21792,6.338582719,16.1,Co,464457,5263031
S614,White Spruce,Picea glauca,12.8,3.90144,6.614173272,16.8,Co,464457,5263031
S614,White Spruce,Picea glauca,7,2.1336,9.291338644,23.6,Co,464457,5263031
S614,White Spruce,Picea glauca,22.8,6.94944,10.51181109,26.7,Co,464457,5263031
S614,Quaking Aspen,Populus tremuloides,12.6,3.84048,11.10236228,28.2,Co,464457,5263031
S614,Quaking Aspen,Populus tremuloides,16.8,5.12064,9.44881896,24,Co,464457,5263031
S621,White Spruce,Picea glauca,25,7.62,9.173228407,23.3,Dom,464644,5263090
S621,White Spruce,Picea glauca,7.75,2.3622,8.937007933,22.7,Co,464644,5263090
S621,White Spruce,Picea glauca,14.167,4.3181016,8.740157538,22.2,Co,464644,5263090
S621,White Spruce,Picea glauca,21.25,6.477,6.535433114,16.6,Co,464644,5263090
S621,White Spruce,Picea glauca,17.25,5.2578,6.29921264,16,Int,464644,5263090
S621,White Spruce,Picea glauca,23.583,7.1880984,8.070866195,20.5,Int,464644,5263090
S621,White Spruce,Picea glauca,14.25,4.3434,8.070866195,20.5,Co,464644,5263090
S621,White Spruce,Picea glauca,22.167,6.7565016,9.960629987,25.3,Co,464644,5263090
S621,White Spruce,Picea glauca,15.75,4.8006,10.78740165,27.4,Dom,464644,5263090
S621,White Spruce,Picea glauca,25.833,7.8738984,9.212598486,23.4,Co,464644,5263090
S621,White Spruce,Picea glauca,21.667,6.6041016,8.26771659,21,Co,464644,5263090
S621,White Spruce,Picea glauca,18.167,5.5373016,7.913385879,20.1,Co,464644,5263090
S621,White Spruce,Picea glauca,9.417,2.8703016,6.496063035,16.5,Int,464644,5263090
S621,White Spruce,Picea glauca,3.5,1.0668,9.370078802,23.8,Co,464644,5263090
S621,White Spruce,Picea glauca,9.75,2.9718,11.33858275,28.8,Co,464644,5263090
S621,White Spruce,Picea glauca,17.25,5.2578,5.590551218,14.2,Int,464644,5263090
S621,White Spruce,Picea glauca,21.917,6.6803016,6.259842561,15.9,Co,464644,5263090
S621,White Spruce,Picea glauca,12.917,3.9371016,8.582677222,21.8,Co,464644,5263090
S621,White Spruce,Picea glauca,25,7.62,8.385826827,21.3,Co,464644,5263090
S621,White Spruce,Picea glauca,21.833,6.6546984,7.401574852,18.8,Co,464644,5263090
S621,Bigtooth Aspen,Populus grandidentata,13.35,4.06908,5.90551185,15,Co,464644,5263090
S621,Bigtooth Aspen,Populus grandidentata,14.167,4.3181016,7.08661422,18,Co,464644,5263090
S621,Bigtooth Aspen,Populus grandidentata,12.053,3.6737544,9.05511817,23,Co,464644,5263090
S621,Bigtooth Aspen,Populus grandidentata,5.333,1.6254984,8.66141738,22,Co,464644,5263090
S621,Bigtooth Aspen,Populus grandidentata,22,6.7056,12.51968512,31.8,Dom,464644,5263090
S621,Bigtooth Aspen,Populus grandidentata,6.917,2.1083016,7.834645721,19.9,Dom,464644,5263090
S621,Quaking Aspen,Populus tremuloides,24.167,7.3661016,13.22834654,33.6,Dom,464644,5263090
S621,Quaking Aspen,Populus tremuloides,9.75,2.9718,5.551181139,14.1,Int,464644,5263090
S621,Paper Birch,Betula papyrifera,13.667,4.1657016,3.976377979,10.1,Co,464644,5263090
S622,White Spruce,Picea glauca,6.167,1.8797016,7.08661422,18,Int,464592,5263100
S622,White Spruce,Picea glauca,14.917,4.5467016,6.889763825,17.5,Sup,464592,5263100
S622,White Spruce,Picea glauca,22.333,6.8070984,3.9370079,10,Sup,464592,5263100
S622,White Spruce,Picea glauca,21.583,6.5784984,5.393700823,13.7,Sup,464592,5263100
S622,White Spruce,Picea glauca,13.25,4.0386,3.976377979,10.1,Sup,464592,5263100
S622,White Spruce,Picea glauca,15.833,4.8258984,5.078740191,12.9,Sup,464592,5263100
S622,White Spruce,Picea glauca,7,2.1336,7.322834694,18.6,Co,464592,5263100
S622,White Spruce,Picea glauca,13.917,4.2419016,7.519685089,19.1,Co,464592,5263100
S622,White Spruce,Picea glauca,25.75,7.8486,9.409448881,23.9,Co,464592,5263100
S622,White Spruce,Picea glauca,18.25,5.5626,8.307086669,21.1,Co,464592,5263100
S622,White Spruce,Picea glauca,13.917,4.2419016,8.031496116,20.4,Co,464592,5263100
S622,White Spruce,Picea glauca,26.25,8.001,5.472440981,13.9,Sup,464592,5263100
S622,White Spruce,Picea glauca,18.5,5.6388,6.496063035,16.5,Int,464592,5263100
S622,White Spruce,Picea glauca,24.417,7.4423016,10.74803157,27.3,Co,464592,5263100
S622,White Spruce,Picea glauca,3.25,0.9906,7.244094536,18.4,Co,464592,5263100
S622,White Spruce,Picea glauca,9.5,2.8956,10.59055125,26.9,Co,464592,5263100
S622,White Spruce,Picea glauca,20.667,6.2993016,6.889763825,17.5,Co,464592,5263100
S622,White Spruce,Picea glauca,15.167,4.6229016,9.015748091,22.9,Co,464592,5263100
S622,White Spruce,Picea glauca,8.167,2.4893016,3.582677189,9.1,Sup,464592,5263100
S622,White Spruce,Picea glauca,20.5,6.2484,7.007874062,17.8,Int,464592,5263100
S622,White Spruce,Picea glauca,18.25,5.5626,5.826771692,14.8,Int,464592,5263100
S622,White Spruce,Picea glauca,24.667,7.5185016,7.125984299,18.1,Co,464592,5263100
S622,White Spruce,Picea glauca,24.667,7.5185016,7.007874062,17.8,Co,464592,5263100
S622,Quaking Aspen,Populus tremuloides,11.5,3.5052,9.05511817,23,Int,464592,5263100
S622,Quaking Aspen,Populus tremuloides,16,4.8768,8.188976432,20.8,Dom,464592,5263100
S622,Quaking Aspen,Populus tremuloides,19.75,6.0198,8.937007933,22.7,Dom,464592,5263100
S622,Northern Red Oak,Quercus rubra,16.5,5.0292,3.9370079,10,Sup,464592,5263100
S622,Paper Birch,Betula papyrifera,16.917,5.1563016,3.779527584,9.6,Co,464592,5263100
S622,Paper Birch,Betula papyrifera,16.667,5.0801016,3.582677189,9.1,Co,464592,5263100
S622,Paper Birch,Betula papyrifera,16.833,5.1306984,3.582677189,9.1,Co,464592,5263100
S622,Paper Birch,Betula papyrifera,16.583,5.0544984,4.133858295,10.5,Co,464592,5263100
S622,Paper Birch,Betula papyrifera,17.667,5.3849016,5.51181106,14,Co,464592,5263100
S622,Bigtooth Aspen,Populus grandidentata,14.75,4.4958,3.9370079,10,Int,464592,5263100
S622,Bigtooth Aspen,Populus grandidentata,18.167,5.5373016,9.803149671,24.9,Dom,464592,5263100
S622,Bigtooth Aspen,Populus grandidentata,9.417,2.8703016,4.881889796,12.4,Int,464592,5263100
S623,Black Spruce,Picea mariana,13.9,4.23672,5.11811027,13,Int,464520,5263092
S623,Black Spruce,Picea mariana,23.5,7.1628,3.897637821,9.9,Sup,464520,5263092
S623,Black Spruce,Picea mariana,7.1,2.16408,6.456692956,16.4,Co,464520,5263092
S623,Black Spruce,Picea mariana,7.7,2.34696,5.236220507,13.3,Int,464520,5263092
S623,Black Spruce,Picea mariana,13.3,4.05384,3.582677189,9.1,Sup,464520,5263092
S623,Black Spruce,Picea mariana,16.1,4.90728,4.645669322,11.8,Co,464520,5263092
S623,Black Spruce,Picea mariana,17.2,5.24256,6.181102403,15.7,Co,464520,5263092
S623,Black Spruce,Picea mariana,22.8,6.94944,3.9370079,10,Sup,464520,5263092
S623,Black Spruce,Picea mariana,14.7,4.48056,5.629921297,14.3,Co,464520,5263092
S623,Black Spruce,Picea mariana,12.8,3.90144,7.952755958,20.2,Dom,464520,5263092
S623,Black Spruce,Picea mariana,23,7.0104,4.645669322,11.8,Int,464520,5263092
S623,Black Spruce,Picea mariana,17.6,5.36448,6.614173272,16.8,Dom,464520,5263092
S623,Black Spruce,Picea mariana,20.6,6.27888,4.960629954,12.6,Int,464520,5263092
S623,Black Spruce,Picea mariana,22.6,6.88848,5.157480349,13.1,Co,464520,5263092
S623,Black Spruce,Picea mariana,21.5,6.5532,5.826771692,14.8,Co,464520,5263092
S623,Tamarack,Larix laricina,12.5,3.81,5.078740191,12.9,Int,464520,5263092
S623,Tamarack,Larix laricina,24.9,7.58952,8.700787459,22.1,Co,464520,5263092
S623,Tamarack,Larix laricina,24.8,7.55904,5.866141771,14.9,Co,464520,5263092
S623,Tamarack,Larix laricina,24.6,7.49808,5.354330744,13.6,Co,464520,5263092
S623,Tamarack,Larix laricina,23.7,7.22376,4.606299243,11.7,Int,464520,5263092
S623,Tamarack,Larix laricina,23.1,7.04088,4.960629954,12.6,Int,464520,5263092
S623,Tamarack,Larix laricina,21.3,6.49224,3.54330711,9,Int,464520,5263092
S623,Tamarack,Larix laricina,10.8,3.29184,4.685039401,11.9,Int,464520,5263092
S623,Tamarack,Larix laricina,25.1,7.65048,5.275590586,13.4,Int,464520,5263092
S623,Paper Birch,Betula papyrifera,21.3,6.49224,3.9370079,10,Int,464520,5263092
S624,Quaking Aspen,Populus tremuloides,28.3,8.62584,10.90551188,27.7,Co,464450,5263102
S624,Quaking Aspen,Populus tremuloides,23.4,7.13232,6.811023667,17.3,Co,464450,5263102
S624,Quaking Aspen,Populus tremuloides,25.6,7.80288,3.897637821,9.9,Int,464450,5263102
S624,Paper Birch,Betula papyrifera,23.2,7.07136,3.9370079,10,Int,464450,5263102
S624,Paper Birch,Betula papyrifera,22.6,6.88848,5.078740191,12.9,Co,464450,5263102
S624,Paper Birch,Betula papyrifera,7.9,2.40792,2.440944898,6.2,Sup,464450,5263102
S624,Paper Birch,Betula papyrifera,22.1,6.73608,5.236220507,13.3,Co,464450,5263102
S624,Paper Birch,Betula papyrifera,25.7,7.83336,3.897637821,9.9,Co,464450,5263102
S624,Paper Birch,Betula papyrifera,18.7,5.69976,5.590551218,14.2,Co,464450,5263102
S624,Paper Birch,Betula papyrifera,17.7,5.39496,3.54330711,9,Int ,464450,5263102
S624,Paper Birch,Betula papyrifera,21.2,6.46176,3.779527584,9.6,Co,464450,5263102
S624,Paper Birch,Betula papyrifera,23.9,7.28472,3.188976399,8.1,Co,464450,5263102
S624,Paper Birch,Betula papyrifera,21.2,6.46176,4.566929164,11.6,Co,464450,5263102
S624,Paper Birch,Betula papyrifera,26.3,8.01624,4.960629954,12.6,Co,464450,5263102
S624,Red Pine,Pinus resinosa,6.8,2.07264,6.496063035,16.5,Int,464450,5263102
S624,Red Pine,Pinus resinosa,19.4,5.91312,9.291338644,23.6,Co,464450,5263102
S624,Red Pine,Pinus resinosa,6,1.8288,7.440944931,18.9,Co,464450,5263102
S624,Red Pine,Pinus resinosa,17.5,5.334,7.8740158,20,Co,464450,5263102
S624,Red Pine,Pinus resinosa,14.1,4.29768,8.464566985,21.5,Co,464450,5263102
S624,Balsam Fir,Abies balsamea,12.2,3.71856,6.614173272,16.8,Sup,464450,5263102
S624,Balsam Fir,Abies balsamea,20.1,6.12648,6.417322877,16.3,Int,464450,5263102
S624,Red Maple,Acer rubrum,23.5,7.1628,2.440944898,6.2,Sup,464450,5263102
S624,Balsam Poplar,Populus balsamifera,13.5,4.1148,7.362204773,18.7,Co,464450,5263102
S624,Balsam Poplar,Populus balsamifera,13.5,4.1148,3.9370079,10,Int,464450,5263102
S624,Balsam Poplar,Populus balsamifera,23.1,7.04088,6.456692956,16.4,Co,464450,5263102
S624,Balsam Poplar,Populus balsamifera,16.4,4.99872,4.921259875,12.5,Co,464450,5263102
S624,Balsam Poplar,Populus balsamifera,22,6.7056,6.141732324,15.6,Int,464450,5263102
S624,Balsam Poplar,Populus balsamifera,22.4,6.82752,6.141732324,15.6,Co,464450,5263102
S624,Balsam Poplar,Populus balsamifera,20.9,6.37032,7.322834694,18.6,Co,464450,5263102
S624,Balsam Poplar,Populus balsamifera,22.3,6.79704,7.125984299,18.1,Co,464450,5263102
S624,Balsam Poplar,Populus balsamifera,23.1,7.04088,6.259842561,15.9,Co,464450,5263102
S625,Paper Birch,Betula papyrifera,9,2.7432,7.677165405,19.5,Sup,464396,5263094
S625,Paper Birch,Betula papyrifera,23,7.0104,7.244094536,18.4,Sup,464396,5263094
S625,Paper Birch,Betula papyrifera,20.583,6.2736984,4.72440948,12,Sup,464396,5263094
S625,Paper Birch,Betula papyrifera,18,5.4864,4.133858295,10.5,Sup,464396,5263094
S625,Paper Birch,Betula papyrifera,17,5.1816,4.33070869,11,Sup,464396,5263094
S625,Paper Birch,Betula papyrifera,24.833,7.5690984,6.968503983,17.7,Co,464396,5263094
S625,Paper Birch,Betula papyrifera,19.583,5.9688984,6.456692956,16.4,Co,464396,5263094
S625,Paper Birch,Betula papyrifera,17.053,5.1977544,3.9370079,10,NA,464396,5263094
S625,Paper Birch,Betula papyrifera,18.417,5.6135016,6.69291343,17,Co,464396,5263094
S625,Paper Birch,Betula papyrifera,12.417,3.7847016,7.283464615,18.5,Co,464396,5263094
S625,Paper Birch,Betula papyrifera,11.583,3.5304984,7.401574852,18.8,Co,464396,5263094
S625,Quaking Aspen,Populus tremuloides,19,5.7912,9.094488249,23.1,Co,464396,5263094
S625,Red Pine,Pinus resinosa,13,3.9624,9.566929197,24.3,Co,464396,5263094
S625,Red Pine,Pinus resinosa,25.167,7.6709016,9.488189039,24.1,Co,464396,5263094
S625,Red Pine,Pinus resinosa,21.33,6.501384,10.03937015,25.5,Co,464396,5263094
S625,Red Pine,Pinus resinosa,25,7.62,9.44881896,24,Co,464396,5263094
S631,Paper Birch,Betula papyrifera,26.4,8.04672,5.000000033,12.7,Co,464636,5263146
S631,Paper Birch,Betula papyrifera,26.4,8.04672,7.244094536,18.4,Co,464636,5263146
S631,Paper Birch,Betula papyrifera,16.6,5.05968,7.677165405,19.5,Co,464636,5263146
S631,Paper Birch,Betula papyrifera,16.2,4.93776,6.771653588,17.2,Co,464636,5263146
S631,Paper Birch,Betula papyrifera,16.2,4.93776,8.464566985,21.5,Co,464636,5263146
S631,White Spruce,Picea glauca,4.7,1.43256,8.070866195,20.5,Co,464636,5263146
