SITE,COMMON_NAME,SPECIES,DIST_FT,DIST_M,DBH_IN,DBH_CM,CC,NORTHING,EASTING
S200,Quaking Aspen,Populus tremuloides,18.5,5.64,14.76,37.5,Dom,464471,5262521
S200,Sugar Maple,Acer saccharum,12.9,3.93,6.30,16,Int,464471,5262521
S200,Sugar Maple,Acer saccharum,11.9,3.63,8.27,21,Dom,464471,5262521
S200,Sugar Maple,Acer saccharum,12.4,3.78,5.12,13,Int,464471,5262521
S200,Sugar Maple,Acer saccharum,23.7,7.22,4.33,11,Co,464471,5262521
S200,Sugar Maple,Acer saccharum,24,7.32,8.66,22,Co,464471,5262521
S200,Balsam Poplar,Populus balsamifera,14.3,4.36,8.15,20.7,Co,464471,5262521
S200,Balsam Poplar,Populus balsamifera,15.1,4.60,9.57,24.3,Co,464471,5262521
S200,Balsam Poplar,Populus balsamifera,17.7,5.39,10.12,25.7,Co,464471,5262521
S200,Balsam Poplar,Populus balsamifera,20.5,6.25,10.16,25.8,Co,464471,5262521
S200,Balsam Poplar,Populus balsamifera,20.3,6.19,9.57,24.3,Co,464471,5262521
S200,Balsam Poplar,Populus balsamifera,19.5,5.94,4.13,10.5,Int,464471,5262521
S201,Quaking Aspen,Populus tremuloides,8.5,2.59,12.68,32.2,Co,464523,5262537
S201,Quaking Aspen,Populus tremuloides,15.7,4.79,13.46,34.2,Co,464523,5262537
S201,Quaking Aspen,Populus tremuloides,19.7,6.00,21.50,54.6,Co,464523,5262537
S201,Quaking Aspen,Populus tremuloides,12.3,3.75,15.24,38.7,Dom,464523,5262537
S201,Quaking Aspen,Populus tremuloides,11.3,3.44,11.61,29.5,Dom,464523,5262537
S201,Sugar Maple,Acer saccharum,22.5,6.86,10.43,26.5,Int,464523,5262537
S201,Sugar Maple,Acer saccharum,14.4,4.39,7.56,19.2,Int,464523,5262537
S201,Sugar Maple,Acer saccharum,16.2,4.94,7.68,19.5,Co,464523,5262537
S201,Sugar Maple,Acer saccharum,13.3,4.05,6.02,15.3,Int,464523,5262537
S201,Sugar Maple,Acer saccharum,13.9,4.24,4.80,12.2,Co,464523,5262537
S201,Sugar Maple,Acer saccharum,14.3,4.36,3.78,9.6,Co,464523,5262537
S201,Sugar Maple,Acer saccharum,5.6,1.71,8.86,22.5,Dom,464523,5262537
S201,Sugar Maple,Acer saccharum,10.7,3.26,3.82,9.7,Int,464523,5262537
S201,Red Maple,Acer rubrum,11.6,3.54,6.30,16,Int,464523,5262537
S201,Red Maple,Acer rubrum,11.8,3.60,5.39,13.7,Int,464523,5262537
S201,Paper Birch,Betula papyrifera,13.2,4.02,12.20,31,Co,464523,5262537
S201,Balsam Fir,Abies balsamea,24.6,7.50,8.94,22.7,Co,464523,5262537
S201,Balsam Fir,Abies balsamea,25,7.62,11.34,28.8,Co,464523,5262537
S203,Paper Birch,Betula papyrifera,3.1,0.94,5.51,14,Dom,464630,5262547
S203,Paper Birch,Betula papyrifera,16,4.88,5.12,13,Co,464630,5262547
S203,Paper Birch,Betula papyrifera,18,5.49,5.79,14.7,Co,464630,5262547
S203,Paper Birch,Betula papyrifera,18.1,5.52,4.72,12,Co,464630,5262547
S203,Paper Birch,Betula papyrifera,19.1,5.82,3.62,9.2,Co,464630,5262547
S203,Paper Birch,Betula papyrifera,20.3,6.19,6.22,15.8,Co,464630,5262547
S203,Balsam Fir,Abies balsamea,9.1,2.77,7.09,18,Co,464630,5262547
S203,Balsam Fir,Abies balsamea,10.8,3.29,5.79,14.7,Co,464630,5262547
S203,Balsam Fir,Abies balsamea,15,4.57,4.65,11.8,Int,464630,5262547
S203,Balsam Fir,Abies balsamea,19.5,5.94,4.72,12,Co,464630,5262547
S203,Balsam Fir,Abies balsamea,18,5.49,4.37,11.1,Co,464630,5262547
S203,Balsam Fir,Abies balsamea,7.6,2.32,4.41,11.2,Co,464630,5262547
S203,Balsam Fir,Abies balsamea,22.4,6.83,4.53,11.5,Int,464630,5262547
S203,Red Maple,Acer rubrum,25.9,7.89,8.66,22,Dom,464630,5262547
S203,Quaking Aspen,Populus tremuloides,18.5,5.64,8.86,22.5,Dom,464630,5262547
S203,Quaking Aspen,Populus tremuloides,22.4,6.83,7.56,19.2,Co,464630,5262547
S204,Balsam Fir,Abies balsamea,4.3,1.31,8.54,21.7,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,23.8,7.25,6.18,15.7,Int,464694,5262523
S204,Balsam Fir,Abies balsamea,19.8,6.04,6.30,16,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,10.9,3.32,9.17,23.3,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,16.2,4.94,3.74,9.5,Int,464694,5262523
S204,Balsam Fir,Abies balsamea,18.8,5.73,8.58,21.8,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,25.4,7.74,8.03,20.4,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,23.1,7.04,7.95,20.2,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,17.5,5.33,6.10,15.5,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,10,3.05,7.91,20.1,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,8.6,2.62,4.17,10.6,Int,464694,5262523
S204,Balsam Fir,Abies balsamea,22,6.71,8.82,22.4,Co,464694,5262523
S204,Balsam Fir,Abies balsamea,15.2,4.63,7.40,18.8,Co,464694,5262523
S204,Red Maple,Acer rubrum,22.1,6.74,7.20,18.3,NAN,464694,5262523
S204,Paper Birch,Betula papyrifera,21.3,6.49,6.10,15.5,Co,464694,5262523
